"(PDH-CSV 4.0) (RTZ 7 (","\\DESKTOP-M5PFFQC\MSSQL$TEW_SQLEXPRESS:SQL Statistics\Batch Requests/sec","\\DESKTOP-M5PFFQC\Память\Доступно МБ","\\DESKTOP-M5PFFQC\Процессор(0)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(1)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(10)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(11)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(2)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(3)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(4)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(5)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(6)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(7)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(8)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(9)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(_Total)\% загруженности процессора","\\DESKTOP-M5PFFQC\Физический диск(0 C: D:)\Среднее время чтения с диска (с)"
"12/02/2025 20:34:45.842","0","1165","100","36.283907155967874303","19.105548791155303689","11.297204079876854266","100","39.303133777662210946","100","55.648602039938424468","100","46.174477123587244876","16.294544695095058984","12.962984284949586211","53.089200051300700522","0.001308545677162780644"
"12/02/2025 20:35:00.827","0","1151","100","36.394642744899506681","21.900962976933989523","13.142192469674252919","100","37.020269209703783986","100","55.267707766494901023","100","51.722491132604055508","17.000222335967229981","13.559276779543761648","53.833980784985904222","0.0017006423521947978874"
"12/02/2025 20:35:15.829","0","1119","100","35.841807347418885854","20.843788285776543745","14.386307856458312671","100","39.278853382378585479","100","51.36059095981268996","100","42.507593597037704569","18.864882992920961158","13.657237485406259481","53.061754936741287736","0.0032052840031307383746"
"12/02/2025 20:35:30.832","0","1125","100","36.470964176235810328","18.349567072408000001","12.621539252232539141","100","38.033153581738211813","100","50.530668825757395268","100","46.260684450717505456","14.183728657734938849","11.996663490031577837","52.370581014416053733","0.0026115571655192107783"
"12/02/2025 20:35:45.840","0","1118","100","36.075675685688366912","16.502755537332358671","9.9437450620854068717","100","41.073017000162238332","100","50.963588351725121584","100","42.218241051395835939","16.710978092102102721","11.713636777628233077","52.100136352124607697","0.0037490864794988230241"
"12/02/2025 20:36:00.844","0","1102","100","32.517916043409911708","16.272229164971562909","10.544583150137521343","100","37.100032855277142119","100","46.160127460560076429","100","37.829005984437834798","13.981170759037942375","9.8156100209768286646","50.351722619989217833","0.0056114317183201907133"
"12/02/2025 20:36:15.829","0","1113","100","33.683595615852702565","17.730120976270104194","11.578127487803602236","100","36.49891466989668487","100","45.98758259278569227","100","38.480065115335051473","17.625849900194388908","10.43114565097086377","51.001283611981577337","0.0065706620123743911255"
"12/02/2025 20:36:30.838","0","1118","100","32.748604365724411025","15.987807620959138433","8.284087378023540893","100","33.997856297011267657","100","43.575454436877137709","100","36.912777470013921288","13.489303758385428722","8.1799830504163058009","49.431323197918111134","0.0077083041763966230267"
"12/02/2025 20:36:45.847","0.26650769127538503911","1116","100","32.956806767318937545","15.987799784513011758","12.03183496643556083","100","34.414267489768526787","100","45.449327245458270852","100","37.849710621256839715","14.530339062063424294","10.782582918621629986","50.33355562690838525","0.0087801566344195523806"
"12/02/2025 20:37:00.832","0","1110","100","31.181091167793585583","17.625851549328686474","10.952502814084430938","100","35.560476275297624227","100","44.00643326834114788","100","37.750168829049655983","15.957514365517621258","10.118334222178893","50.262697707632632671","0.0054231094980212463802"
