"(PDH-CSV 4.0) (RTZ 7 (","\\DESKTOP-M5PFFQC\MSSQL$TEW_SQLEXPRESS:SQL Statistics\Batch Requests/sec","\\DESKTOP-M5PFFQC\Память\Доступно МБ","\\DESKTOP-M5PFFQC\Процессор(_Total)\% загруженности процессора","\\DESKTOP-M5PFFQC\Физический диск(0 C: D:)\Среднее время чтения с диска (с)"
"12/01/2025 22:25:33.676"," ","3882"," "," "
"12/01/2025 22:25:48.691","0","3867","36.920638548123122291","0.00034435553319919521035"
"12/01/2025 22:26:03.676","0","3828","39.713944385862831155","0.00018377722513089004425"
"12/01/2025 22:26:18.683","0","3742","40.808798768876982876","0.00018042809278350516395"
"12/01/2025 22:26:33.697","0","3719","41.330725008910029317","0.00020094218533886582466"
"12/01/2025 22:26:48.696","0","3719","37.382899713215188342","0.00042543714285714286268"
"12/01/2025 22:27:03.689","0","3723","38.521581171307261116","0.00023480518518518520574"
"12/01/2025 22:27:18.676","0","3685","39.000879416561375024","0.00017339980198019801466"
"12/01/2025 22:27:33.691","0","3493","42.184477414509615301","0.00019664727272727272091"
"12/01/2025 22:27:48.676","0","3811","47.299668536151649789","0.00031388431372549019903"
"12/01/2025 22:28:03.682","0","3819","40.848234776057509521","0.00019147173913043477817"
"12/01/2025 22:28:18.693","0","3652","38.560603220261178592","0.00019830322580645162321"
"12/01/2025 22:28:33.682","0.26686315800990939584","3410","42.396922315214823129","0.00023353333333333333582"
"12/01/2025 22:28:48.689","0","3609","41.034387655755757862","0.00013455365853658538119"
"12/01/2025 22:29:03.686","0","3776","41.78515873581277873","0.00033930476190476189938"
"12/01/2025 22:29:18.679","0","3784","38.408680600435353369","0.00077482962962962956613"
"12/01/2025 22:29:33.686","0","2582","47.324864097420260123","0.00029159482288828333886"
"12/01/2025 22:29:48.680","0","2781","51.829630466459228444","0.00021918831360946745856"
"12/01/2025 22:30:03.684","0","2534","54.03997573657317588","0.00019530347985347986457"
"12/01/2025 22:30:18.697","0","2908","49.618254032172195878","0.00022537647058823529552"
"12/01/2025 22:30:33.684","0","2574","51.694185728421601311","0.00015781623376623376848"
"12/01/2025 22:30:48.699","0","2488","51.931689052453236854","0.00018947663551401868831"
"12/01/2025 22:31:03.684","0","2388","52.930302288732256955","0.00018574875346260387031"
"12/01/2025 22:31:18.689","0","2525","50.893043110864034873","0.0001637529100529100379"
"12/01/2025 22:31:33.678","0","2241","54.723684685436587927","0.0001752230769230769163"
"12/01/2025 22:31:48.679","0","2197","48.475594444091655078","0.00014251942446043164184"
"12/01/2025 22:32:03.686","0","2199","50.613262258499979396","0.00016123115384615384934"
"12/01/2025 22:32:18.674","0","2125","51.775595713821665811","0.00019238675675675674377"
"12/01/2025 22:32:33.682","0","2272","52.204250814198438491","0.00026708085106382975895"
"12/01/2025 22:32:48.695","0","2237","50.44219332000496081","0.00023620434782608697405"
"12/01/2025 22:33:03.686","0","2236","48.832083817646740442","0.00015380740740740742457"
"12/01/2025 22:33:18.680","0","2252","50.04071767143472016","0.00025909428571428569582"
"12/01/2025 22:33:33.691","0.26647051061792054183","2242","48.301735587422733431","0.00026075714285714286051"
"12/01/2025 22:33:48.685","0","2219","46.871042807970461297","0.0001697013071895424872"
"12/01/2025 22:34:03.676","0","2199","49.309802377319947198","0.00087887545526524151179"
"12/01/2025 22:34:18.690","0","2255","48.398788393265945729","0.00027247999999999996616"
"12/01/2025 22:34:33.682","0","2589","48.600996129837781723","0.047978724297188760084"
"12/01/2025 22:34:48.693","0","2567","48.830862227919269003","0.00015913642857142857863"
"12/01/2025 22:35:03.692","0","2514","49.180576683564503071","0.00024570123456790120622"
"12/01/2025 22:35:18.679","0","2219","49.296270552471234794","0.00026877108050847456702"
"12/01/2025 22:35:33.689","0","2148","49.18312090646561785","0.00015856344086021505321"
"12/01/2025 22:35:48.678","0","2126","46.957563774146784397","0.00015318046357615895323"
"12/01/2025 22:36:03.679","0","2111","47.920073041089295884","0.00014881732636295744664"
"12/01/2025 22:36:18.692","0","2129","47.432645506592351126","0.00023232545454545454832"
"12/01/2025 22:36:33.679","0","2102","47.454394968785337028","0.00023126031746031747898"
"12/01/2025 22:36:48.687","0","2099","46.842521052448269359","0.00020923124999999999341"
"12/01/2025 22:37:03.683","0","2109","47.642225446508099651","0.00022934025157232703989"
"12/01/2025 22:37:18.692","0","2120","45.883092349492827111","0.00044051903409090907961"
"12/01/2025 22:37:33.677","0","2198","46.004966012170022793","0.00015359716312056737367"
"12/01/2025 22:37:48.691","0","2173","46.057222931080033845","0.00013891127819548872526"
"12/01/2025 22:38:03.681","0","2128","47.265125395484140824","0.00017513566666666667776"
"12/01/2025 22:38:18.687","0","2133","46.604711500600949137","0.00043160434782608698024"
"12/01/2025 22:38:33.676","0.40029346047311897827","2028","47.218172543732691793","0.00058794505494505489018"
"12/01/2025 22:38:48.680","0","2030","48.017267870555599529","0.00030699516129032258013"
"12/01/2025 22:39:03.690","0","2333","49.313242657894015508","0.00025319783950617283895"
"12/01/2025 22:39:18.676","0","2309","44.85297432509791804","0.00015511886792452829606"
"12/01/2025 22:39:33.691","0","2294","47.448319499405563704","0.00026407766561514198255"
"12/01/2025 22:39:48.678","0","2264","47.958303623936650695","0.00028639183673469389112"
"12/01/2025 22:40:03.690","0","2241","46.952094544961262557","0.00025756746987951810272"
"12/01/2025 22:40:18.676","0","2248","46.36480356965083871","0.0013210400000000001048"
"12/01/2025 22:40:33.688","0","2252","45.191348291971635831","0.00026124908256880733336"
